"","month(NEWDATE)","year(NEWDATE)","Salinity.x","Reference"
"709",11,2012,0.7,1
"710",1,2013,0.7,1
"711",5,2013,0.7,3
"712",6,2013,0.7,1
"713",11,2013,0.7,1
"714",1,2014,0.7,2
"715",6,2014,0.7,1
"716",10,2014,0.7,1
"717",4,2015,0.7,1
"718",7,2015,0.7,1
"719",9,2015,0.7,1
"720",2,2016,0.7,1
"721",4,2016,0.7,1
"722",2,1997,0.8,1
"723",8,1997,0.8,1
"724",2,1998,0.8,1
"725",6,1998,0.8,1
"726",10,1998,0.8,1
"727",4,1999,0.8,1
"728",1,2000,0.8,1
"729",4,2001,0.8,1
"730",8,2001,0.8,2
"731",12,2001,0.8,1
"732",1,2002,0.8,1
"733",2,2002,0.8,3
"734",5,2002,0.8,4
"735",9,2002,0.8,2
"736",1,2003,0.8,1
"737",3,2003,0.8,1
"738",4,2003,0.8,1
"739",7,2003,0.8,2
"740",11,2003,0.8,1
"741",12,2003,0.8,2
"742",2,2004,0.8,1
"743",3,2004,0.8,2
"744",4,2004,0.8,1
"745",9,2004,0.8,1
"746",12,2004,0.8,1
"747",3,2005,0.8,1
"748",4,2005,0.8,5
"749",10,2005,0.8,2
"750",4,2006,0.8,2
"751",5,2006,0.8,4
"752",1,2007,0.8,2
"753",4,2007,0.8,1
"754",5,2007,0.8,1
"755",6,2007,0.8,6
"756",9,2007,0.8,1
"757",12,2007,0.8,1
"758",3,2008,0.8,2
"759",6,2008,0.8,2
"760",7,2008,0.8,5
"761",8,2008,0.8,3
"762",9,2008,0.8,1
"763",11,2008,0.8,2
"764",4,2009,0.8,2
"765",5,2009,0.8,1
"766",6,2009,0.8,2
"767",10,2009,0.8,1
"768",5,2011,0.8,1
"769",10,2011,0.8,2
"770",1,2012,0.8,3
"771",2,2012,0.8,1
"772",3,2012,0.8,1
"773",7,2012,0.8,1
"774",5,2013,0.8,3
"775",6,2013,0.8,3
"776",10,2013,0.8,2
"777",4,2014,0.8,1
"778",6,2014,0.8,1
"779",9,2014,0.8,3
"780",11,2014,0.8,2
"781",4,2015,0.8,1
"782",6,2015,0.8,2
"783",8,2015,0.8,1
"784",2,2016,0.8,1
"785",6,2016,0.8,1
"786",9,2016,0.8,1
"787",10,2016,0.8,1
"788",1,1997,0.9,1
"789",4,1997,0.9,1
"790",12,1997,0.9,1
"791",2,1998,0.9,1
"792",3,1998,0.9,2
"793",4,1998,0.9,1
"794",6,1998,0.9,1
"795",12,1998,0.9,1
"796",2,2001,0.9,1
"797",4,2001,0.9,2
"798",5,2001,0.9,2
"799",12,2001,0.9,3
"800",7,2002,0.9,1
"801",10,2002,0.9,3
"802",12,2002,0.9,1
"803",7,2003,0.9,2
"804",8,2003,0.9,3
"805",11,2003,0.9,1
"806",1,2004,0.9,1
"807",2,2004,0.9,1
"808",3,2004,0.9,1
"809",6,2004,0.9,1
"810",7,2004,0.9,1
"811",10,2004,0.9,1
"812",1,2005,0.9,1
"813",6,2005,0.9,1
"814",12,2005,0.9,1
"815",1,2006,0.9,1
"816",11,2006,0.9,1
"817",4,2007,0.9,2
"818",5,2007,0.9,1
"819",9,2007,0.9,4
"820",10,2007,0.9,2
"821",11,2007,0.9,1
"822",12,2007,0.9,3
"823",4,2008,0.9,2
"824",6,2008,0.9,1
"825",7,2008,0.9,4
"826",8,2008,0.9,2
"827",9,2008,0.9,2
"828",7,2009,0.9,1
"829",10,2009,0.9,3
"830",12,2009,0.9,2
"831",10,2010,0.9,1
"832",1,2011,0.9,1
"833",3,2011,0.9,2
"834",4,2011,0.9,1
"835",8,2011,0.9,3
"836",9,2011,0.9,2
"837",10,2011,0.9,3
"838",1,2012,0.9,1
"839",2,2012,0.9,1
"840",7,2012,0.9,1
"841",9,2012,0.9,2
"842",11,2012,0.9,1
"843",1,2013,0.9,1
"844",4,2013,0.9,3
"845",5,2013,0.9,1
"846",10,2013,0.9,6
"847",1,2014,0.9,2
"848",4,2014,0.9,1
"849",8,2014,0.9,1
"850",10,2014,0.9,1
"851",12,2014,0.9,1
"852",4,2015,0.9,1
"853",6,2015,0.9,1
"854",9,2015,0.9,2
"855",1,2016,0.9,1
"856",2,2016,0.9,1
"857",3,2016,0.9,2
"858",4,2016,0.9,1
"859",3,1997,1,1
"860",4,1997,1,1
"861",5,1997,1,1
"862",7,1997,1,2
"863",3,2001,1,4
"864",7,2001,1,1
"865",4,2002,1,1
"866",10,2002,1,1
"867",4,2003,1,1
"868",6,2003,1,1
"869",8,2003,1,2
"870",2,2004,1,1
"871",3,2004,1,2
"872",4,2004,1,1
"873",5,2004,1,2
"874",6,2004,1,1
"875",8,2004,1,1
"876",9,2004,1,1
"877",2,2005,1,1
"878",7,2005,1,1
"879",4,2006,1,1
"880",8,2006,1,2
"881",9,2006,1,2
"882",11,2006,1,1
"883",2,2008,1,2
"884",6,2008,1,1
"885",7,2008,1,4
"886",9,2008,1,1
"887",11,2008,1,2
"888",5,2009,1,2
"889",8,2009,1,2
"890",3,2010,1,1
"891",5,2010,1,1
"892",4,2011,1,1
