"","Reference","Depth","Beg_end","Temperature","Conductivity","pH","Salinity","DissolvedO2","Flag"
"1778","CKM1999011102",0.4,"B",10.5,43.1,9.2,27.8,9.1,NA
"1779","CKM1999011103",0.3,"B",10.7,42.3,9.2,27.2,9.6,NA
"1780","CKM1999011104",0.5,"B",10.1,44.7,9.3,29.1,9.7,NA
"1781","CKM1999011105",1.1,"B",11.4,44.6,9.3,28.8,9.3,NA
"1782","CKM1999011201",0.5,"B",10.2,38.8,9.2,24.8,9.9,NA
"1783","CKM1999011202",0.4,"B",11.3,29,9.1,17,10.3,NA
"1784","CKM1999011203",0.3,"B",10.9,23.8,9.1,13.4,10.6,NA
"1785","CKM1999011204",0.5,"B",11,30.6,9.2,19.4,10.2,NA
"1786","CKM1999011205",0.3,"B",11.7,38,9.4,23.9,11.2,NA
"1787","CKM1999011206",0.3,"B",13,38.9,9.4,24.7,11.6,NA
"1788","CKM1999011207",0.3,"B",14.1,21.7,9.2,13,9.9,NA
"1789","CKM1999011301",0.3,"B",12.5,23.3,9.2,14.1,9.9,NA
"1790","CKM1999011302",0.6,"B",13.6,10.5,9.1,5.7,8.5,NA
"1791","CKM1999011303",0.7,"B",12.8,29.4,9.3,18.1,10.3,NA
"1792","CKM1999011304",0.8,"B",13.9,29,9.3,17.9,10.1,NA
"1793","CKM1999011305",0.4,"B",14.5,30.1,9.4,18.6,10.8,NA
"1794","CKM1999011306",0.5,"B",14.2,16.5,9.2,9.7,10.1,NA
"1795","CKM1999011901",0.3,"B",18.7,43,9.1,27.7,7.8,NA
"1796","CKM1999011902",0.3,"B",21.1,42.3,9.2,27.3,7.6,NA
"1797","CKM1999011903",0.7,"B",18.6,43.9,9.3,28.3,7.9,NA
"1798","CKM1999011904",0.6,"B",18.7,46.5,9.6,30.4,8.7,NA
"1799","CKM1999011905",1.1,"B",17.4,46.5,9.6,30.2,8.8,NA
"1800","CKM1999012501",1,"B",15.2,26.7,9,16.3,7.3,NA
"1801","CKM1999012502",0.5,"B",15.3,33.5,9,21,6.9,NA
"1802","CKM1999012503",0.3,"B",16.5,34.3,9.1,21.6,8.7,NA
"1803","CKM1999012601",0.3,"B",14.8,40.5,9.1,25.8,7.6,NA
"1804","CKM1999012602",0.2,"B",15,28.3,9,17.2,6.5,NA
"1805","CKM1999012603",0.3,"B",16.2,22,9.3,13.5,8.3,NA
"1806","CKM1999012604",0.3,"B",16.1,9.8,8.9,5.5,6.8,NA
"1807","CKM1999012605",0.3,"B",18,3.1,9.4,1.7,7,NA
"1808","CKM1999020801",0.4,"B",19.9,46.4,7.9,30.2,6.8,NA
"1809","CKM1999020802",0.3,"B",20.3,46.8,8,30.5,6.9,NA
"1810","CKM1999020803",0.4,"B",20.8,46.8,7.9,30.5,6.5,NA
"1811","CKM1999020804",0.9,"B",20.5,47.1,8.1,30.7,7.1,NA
"1812","CKM1999020805",0.3,"B",22.3,49,8.1,32.1,7.7,NA
"1813","CKM1999020806",0.3,"B",22.8,49.3,8.3,32.3,9.7,NA
"1814","CKM1999020807",0.3,"B",21.4,49.1,8.2,32.1,8.1,NA
"1815","CKM1999020901",0.6,"B",20.8,44,7.7,28.5,5.6,NA
"1816","CKM1999020902",0.5,"B",20.6,44.1,7.7,28.5,5.3,NA
"1817","CKM1999020903",0.3,"B",20.9,46.8,7.9,30.5,6.3,NA
"1818","CKM1999020904",0.3,"B",21,46.9,8.1,30.6,7.3,NA
